Geranium purpureum	Geraniaceae	géranium pourpre		Purpur-Storchschnabel		Purpurner Stink-Storchschnabel
Geranium pusillum	Geraniaceae	Géranium fluet	Small-flowered Crane's-bill	Kleiner Storchschnabel	Geranio peloso	Geranium a tiges greles~Zwerg-Storchschnabel
Geranium pyrenaicum	Geraniaceae	Géranium des Pyrénées	Hedgerow Crane's-bill	Pyrenäen-Storchschnabel	Geranio dei Pirenei	
Geranium renardii	Geraniaceae		cranesbill			hardy geranium
Geranium retrorsum	Geraniaceae		New Zealand geranium			
Geranium reuteri	Geraniaceae			Kanaren-Storchschnabel		
Geranium richardsonii	Geraniaceae		Richardson's geranium			
Geranium riversleaianum	Geraniaceae		Geranium ×riversleaianum			
Geranium rivulare	Geraniaceae	Géranium blanc		Alpen-Storchschnabel		Blassblütiger Storchschnabel
Geranium robertianum	Geraniaceae	Géranium Herbe à Robert	herb-robert	Ruprechtskraut	Erba Roberta	herbe à robert~Géranium Robert~Gewöhnlicher Stink-Storchschnabel~Ruprechts-Storchschnabel~Stinkender Storchschnabel~Stinkstorchschnabel
Geranium rotundifolium	Geraniaceae	Géranium à feuilles rondes	Round-leaved Crane's-bill	Rundblättriger Storchschnabel		
Geranium sanguineum	Geraniaceae	Géranium sanguin	Bloody Crane's-bill	Blutroter Storchschnabel	Geranio sanguigno	Herbe à becquet~Blut-Storchschnabel
Geranium sibiricum	Geraniaceae			Sibirischer Storchschnabel		
Geranium solanderi	Geraniaceae		Solander's geranium			
Geranium sylvaticum	Geraniaceae	Géranium des bois	Wood Crane's-bill	Wald-Storchschnabel	Geranio dei prati	Waldstorchschnabel~Geranio selvatico
Geranium thunbergii	Geraniaceae		Thunberg's geranium			
Geranium traversii	Geraniaceae		cranesbill			Chatham Island geranium~Chatham Islands geranium
Geranium tuberosum	Geraniaceae	Géranium tubéreux	Tuberous cranesbill	Knolliger Storchschnabel	Geranio tuberoso	
Geranium versicolor	Geraniaceae		veiny geranium	Verschiedenfarbiger Storchschnabel		Veränderlicher Storchschnabel~pencilled crane's-bill~pencilled cranes-bill~pencilled cranesbill~pencilled geranium~striped geranium
Geranium viscosissimum	Geraniaceae		sticky purple geranium			
Geranium wakkerstroomianum	Geraniaceae		white geranium			
Geranium wallichianum	Geraniaceae		Wallich Geranium	Storchschnabel		
Geranium wislizeni	Geraniaceae		Huachuca Mountain geranium			
Gerbera aurantiaca	Asteraceae		Hilton Daisy			
Gerbera jamesonii	Asteraceae		Barberton daisy			
Gerbera parva	Asteraceae		Drakensberg Gerbera			
Gerbera viridifolia	Asteraceae		Blushing Barberton Daisy			
Gerrardina foliosa	Gerrardinaceae		Krantz-berry			krantzberry
Gesneria citrina	Gesneriaceae		yerba Puerto Rico de cueva			
Gesneria cuneifolia	Gesneriaceae		yerba parrera			
Gesneria pauciflora	Gesneriaceae		yerba maricao de cueva			
Gesneria pedunculosa	Gesneriaceae		arbol de Navidad			
Gesneria reticulata	Gesneriaceae		yerba neto hoja de cueva			
Gesneria viridiflora	Gesneriaceae		grassflower			
Geum aleppicum	Rosaceae		yellow avens			
Geum calthifolium	Rosaceae		calthaleaf avens			
Geum canadense	Rosaceae		white avens			
Geum catlingii	Rosaceae		Catling's avens			
Geum coccineum	Rosaceae	Benoîte orangée				
Geum geniculatum	Rosaceae		bent avens			
Geum glaciale	Rosaceae		glacier avens			
Geum japonicum	Rosaceae			Japanische Nelkenwurz		
Geum laciniatum	Rosaceae		rough avens			
Geum macrophyllum	Rosaceae	Benoîte à grandes feuilles	Largeleaf Avens			bigleaf avens~large leaved avens~large-leaved avens
Geum montanum	Rosaceae	Benoîte des montagnes		Berg-Nelkenwurz		Berg-Petersbart
Geum peckii	Rosaceae		mountain avens			
Geum pentapetalum	Rosaceae	Benoite à cinq pétales	Aleutian avens			
Geum pyrenaicum	Rosaceae	Benoîte des Pyrénées				
Geum radiatum	Rosaceae		Appalachian avens			
Geum reptans	Rosaceae	Benoîte rampante		Kriech-Nelkenwurz		Gletscher-Petersbart~Kriechende Nelkenwurz
Geum rivale	Rosaceae	Benoîte des ruisseaux	purple avens	Bach-Nelkenwurz		Bachnelkenwurz~water avens
Geum rossii	Rosaceae		alpine avens			Ross' avens
Geum roylei	Rosaceae		Royle's Avens			
Geum ternatum	Rosaceae		Siberian waldsteinia	Dreiblättrige Waldsteinie		Golderdbeere~Teppich-Golderdbeere~Dreiblatt-Golderdbeere~Sibirische Golderdbeere
Geum triflorum	Rosaceae	Benoite à 3 fleurs	old man's whiskers			Benoite à trois fleurs~Prairie smoke avens
Geum urbanum	Rosaceae	Benoîte commune	herb bennet	Echte Nelkenwurz		Benoîte urbaine~Benoîte officinale~Herbe-de-Saint-Benoît~Benediktinerkraut~Gewöhnliche Nelkenwurz~wood avens
Geum vernum	Rosaceae		spring avens			
Geum virginianum	Rosaceae		cream avens			
Gevuina avellana	Proteaceae	Avellano		Chilenische Haselnuss		Noisette chilienne
Gibbaeum heathii	Aizoaceae		baby bums			
Gibbaeum petrense	Aizoaceae		Mimicry Plant			
Gigantochloa atroviolacea	Poaceae		Black asper			Black bamboo~Timor black bamboo~Tropical black bamboo
Gigantochloa baliana	Poaceae		Balinese Bamboo			
Gigantochloa levis	Poaceae		Smooth-shoot gigantochloa			
Gigantochloa nigrociliata	Poaceae		Black-fringed giant bamboo			Black-hair giant bamboo
Gigantochloa pseudoarundinacea	Poaceae		West Java pipe-bamboo			West-Java hollow-culmed bamboo
Gigantochloa verticillata	Poaceae		Stripe-leaved bamboo			
Gigartina ancistroclada	Gigartinaceae		'Gigartina' ancistroclada			\Gigartina\" ancistroclada"
Gigartina atropurpurea	Gigartinaceae		'Gigartina' atropurpurea			\Gigartina\" atropurpurea"
Gilia aliquanta	Polemoniaceae		puffcalyx gilia			
Gilia angelensis	Polemoniaceae		chaparral gilia			
Gilia austrooccidentalis	Polemoniaceae		Gilia austro-occidentalis (incorrect alteration)			southwestern gilia
Gilia cana	Polemoniaceae		showy gilia			
Gilia capitata	Polemoniaceae		bluehead gilia			
Gilia clivorum	Polemoniaceae		purplespot gilia			
Gilia clokeyi	Polemoniaceae		Clokey's gilia			
Gilia diegensis	Polemoniaceae		coastal gilia			
Gilia flavocincta	Polemoniaceae		lesser yellowthroat gilia			
Gilia inconspicua	Polemoniaceae		shy gilia			
Gilia interior	Polemoniaceae		inland gilia			
Gilia latiflora	Polemoniaceae		hollyleaf gilia			
Gilia leptantha	Polemoniaceae		fineflower gilia			
Gilia malior	Polemoniaceae		scrub gilia			
Gilia mexicana	Polemoniaceae		El Paso gilia			
Gilia millefoliata	Polemoniaceae		manyleaf gilia			
Gilia minor	Polemoniaceae		little gilia			
Gilia modocensis	Polemoniaceae		Modoc gilia			
Gilia nevinii	Polemoniaceae		Nevin's gilia			
Gilia ochroleuca	Polemoniaceae		volcanic gilia			
Gilia ophthalmoides	Polemoniaceae		eyed gilia			
Gilia salticola	Polemoniaceae		salt gilia			
Gilia scopulorum	Polemoniaceae		rock gilia			
Gilia sinuata	Polemoniaceae		rosy gilia			
Gilia stellata	Polemoniaceae		star gilia			
Gilia tenuiflora	Polemoniaceae		greater yellowthroat gilia			
Gilia transmontana	Polemoniaceae		transmontane gilia			
Gilia tricolor	Polemoniaceae		bird's-eye gilia			bird's-eyes
Gilia tweedyi	Polemoniaceae		Tweedy's gila			
Gilia yorkii	Polemoniaceae		Boyden Cave gilia			
Gillenia stipulata	Rosaceae		American ipecac	Südliche Dreiblattspiere		
Gillenia trifoliata	Rosaceae		Bowman's root	Nördliche Dreiblattspiere		
Gilletiodendron glandulosum	Fabaceae	Kololu				
Ginkgo biloba	Ginkgoaceae	Arbre aux 40 écus	Maidenhair Tree	Ginkgobaum	Ginco	Arbre aux quarante écus~Gingko biloba~Gingkos~Fächerbaum~Fächerblattbaum~Ginkgo biloba Linne
Ginkgo henanensis	Ginkgoaceae		G. henanensis			
Gisekia africana	Gisekiaceae		ostrich herb			
Gisekia pharnaceoides	Gisekiaceae		Gisekia pharnacioides (original spelling)			
Gladiolus alatus	Iridaceae		Turkey-chick			
Gladiolus brevitubus	Iridaceae		Little Salmon tube			
Gladiolus bullatus	Iridaceae		Caledon Bluebell			
Gladiolus callianthus	Iridaceae		Gladiolus callianthus Marais (1973)			
Gladiolus cardinalis	Iridaceae			Kardinals-Gladiole		
Gladiolus carinatus	Iridaceae		Blue Afrikaner			
Gladiolus carmineus	Iridaceae		Cliff Gladiolus			
Gladiolus carneus	Iridaceae		Painted Lady	Fleischrosa Gladiole		
Gladiolus communis	Iridaceae		cornflag			
Gladiolus crassifolius	Iridaceae		thick-leaved gladiolus			
Gladiolus cruentus	Iridaceae			Blutrote Gladiole		
Gladiolus dalenii	Iridaceae			Primel-Gladiole		
Gladiolus ecklonii	Iridaceae		sheathed gladiolus			
Gladiolus gracilis	Iridaceae		Blue pipe			
Gladiolus hajastanicus	Iridaceae		Armenian Sword-lily			
Gladiolus hyalinus	Iridaceae		Small Brown-Afrikaner			
Gladiolus illyricus	Iridaceae	Glaïeul d'Illyrie		Illyrische Siegwurz		
Gladiolus imbricatus	Iridaceae	Glaïeul imbriqué		Dachzieglige Siegwurz		
Gladiolus italicus	Iridaceae	Glaïeul des moissons	Common Sword Lily		Gladiolo dei campi	Cornfield Gladiolus~Field Gladiolus
Gladiolus liliaceus	Iridaceae		Large Brown-Afrikaner			
Gladiolus longicollis	Iridaceae		honey flower			
Gladiolus maculatus	Iridaceae		Small Brown Africander			
Gladiolus murielae	Iridaceae	Acidanthera bicolor		Abessinische Gladiole		Acidanthera bicolor murielae~Acidanthera bicolore~Glaïeul d'Abyssinie~Stern-Gladiole~Sterngladiole
Gladiolus oppositiflorus	Iridaceae			Gegenblütige Gladiole		
Gladiolus palustris	Iridaceae	Glaïeul des marais		Sumpf-Siegwurz		Sumpf-Gladiole~Sumpfgladiole~Sumpfsiegwurz
Gladiolus papilio	Iridaceae		goldblotch gladiolus	Schmetterlings-Gladiole		
Gladiolus rogersii	Iridaceae		Riversdale bluebell			
Gladiolus saundersii	Iridaceae		Lesotho Lily			
Gladiolus sempervirens	Iridaceae		George Flame			
Gladiolus sericeovillosus	Iridaceae		Large Speckled Gladiolus			
Gladiolus stefaniae	Iridaceae		Montagu Rock Lily			
Gladiolus tristis	Iridaceae		ever-flowering gladiolus	Eintönige Gladiole		marsh Afrikaner
Gladiolus virgatus	Iridaceae		Helderberg Painted Lady			
Gladiolus ×colvillii	Iridaceae		Gladiolus ×colvillei			
Gladiolus ×hortulanus	Iridaceae			Garten-Gladiole		
Glandora diffusa	Boraginaceae		purple gromwell			
Glandora prostrata	Boraginaceae	Grémil à rameaux étalés				Grémil couché
Glaucidium albertinum	Ranunculaceae	Chevêchette du Graben	Albertine Owlet	Albertzwergkauz	Civettina di Albertine	Chevêchette de Prigogine~Glaucidium capense albertinum~Prigogine's Owlet
Glaucidium bolivianum	Ranunculaceae	Chevêchette des yungas	Yungas Pygmy Owl	Yungas-Sperlingskauz	Civettina della yungas	Bolivienzwergkauz~Yungas Pygmy-owl
Glaucidium brasilianum	Ranunculaceae	Chevêchette brune	Ferruginous Pygmy Owl	Brasil-Sperlingskauz		Brasilzwergkauz~Ferruginous Pygmy-owl
Glaucidium brodiei	Ranunculaceae	Chevêchette à collier	Collared Owlet	Wachtel-Sperlingskauz	Civettina dal collare	Wachtelzwergkauz
Glaucidium californicum	Ranunculaceae	Chevêchette des Rocheuses	Northern Pygmy-Owl	Rocky-Mountains-Sperlingskauz	Civettina del Nordamerica	Glaucidium gnoma californicum~Kalifornienzwergkauz~Northern Pygmy Owl
Glaucidium capense	Ranunculaceae	Chevêchette du Cap	African Barred Owlet	Kap-Sperlingskauz	Civettina barrata africana	Glaucidium capense capense~Kapzwergkauz
Glaucidium castaneum	Ranunculaceae		Chestnut Owlet			
Glaucidium castanopterum	Ranunculaceae	Chevêchette spadicée	Javan Owlet	Trillerzwergkauz	Civettina di Giava	strix castanoptera
Glaucidium castanotum	Ranunculaceae	Chevêchette à dos marron	Chestnut-backed Owlet	Kastanienmantel-Zwergkauz	Civettina dorsocastano	
Glaucidium cobanense	Ranunculaceae	Chevêchette du Guatemala	Guatemalan Pygmy Owl	Guatemala-Sperlingskauz	Civettina del Guatemala	Guatemalazwergkauz~Guatemalan Pygmy-owl
Glaucidium costaricanum	Ranunculaceae	Chevêchette du Costa Rica	Costa Rican Pygmy Owl	Costa-Rica-Sperlingskauz	Civettina del Costarica	Glaucidium jardinii costaricanum~Costa Rica-Sperlingskauz~Costa-Rica-Zwergkauz~Costa Rican Pygmy-owl
Glaucidium cuculoides	Ranunculaceae	Chevêchette cuculoïde	Asian Barred Owlet	Kuckuckszwergkauz	Civetta nana barrata asiatica	Noctua cuculoïdes~Kuckuckstrillerkauz~Civettina barrata asiatica
Glaucidium gnoma	Ranunculaceae	Chevêchette naine	Mountain pygmy owl	Gnomen-Sperlingskauz		Gnomenzwergkauz~Mountain Pygmy-owl~Northern Pygmy-Owl
Glaucidium griseiceps	Ranunculaceae	Chevêchette à tête grise	Central American Pygmy Owl	Yucatán-Sperlingskauz	Civettina del Centroamerica	Graukopf-Zwergkauz~Central American Pygmy-owl
Glaucidium hardyi	Ranunculaceae	Chevêchette d'Amazonie	Amazonian Pygmy Owl	Amazonas-Zwergkauz		Chevêchette d’Amazonie~Amazonaszwergkauz~Amazonian Pygmy-owl~Hardy's Pygmy-Owl
Glaucidium hoskinsii	Ranunculaceae	Chevêchette de Hoskins	Cape pygmy owl	Hoskins-Sperlingskauz	Civettina del Capo	Hoskinszwergkauz~Baja Pygmy Owl~Baja Pygmy-owl
Glaucidium jardinii	Ranunculaceae	Chevêchette des Andes	Andean pygmy owl	Anden-Sperlingskauz	Civettina delle Ande	Andenzwergkauz~Andean Pygmy-owl
Glaucidium kurochkini	Ranunculaceae		Kurochkin's pygmy owl			
Glaucidium minutissimum	Ranunculaceae	Chevêchette cabouré	East Brazilian Pygmy Owl	Kleinst-Zwergkauz	Civettina minuta	Kleinstzwergkauz~Sickzwergkauz~Zwerg-Sperlingskauz~Zwergsperlingskauz~Brazilian Pygmy-Owl~Least Pygmy-owl
Glaucidium mooreorum	Ranunculaceae	Chevêchette des Moore	Pernambuco Pygmy Owl	Pernambuco-Zwergkauz	Civettina del Pernambuco	Pernambuco-Sperlingskauz~Pernambuco-Zwergeule~Pernambucozwergkauz~Pernambuco Pygmy-owl
Glaucidium nana	Ranunculaceae	Chevêchette australe	Austral Pygmy Owl	Patagonien-Sperlingskauz		Australzwergkauz~Austral Pygmy-owl
Glaucidium nubicola	Ranunculaceae	Chevêchette des nuages	Cloud-forest Pygmy Owl	Nebelzwergkauz		Nebelwald-Sperlingskauz~Cloud-forest pygmy-owl~Cloudforest Pygmy-owl
Glaucidium palmarum	Ranunculaceae	Chevêchette du Colima	Colima Pygmy Owl	Colima-Sperlingskauz	Civettina del Colima	Palmenzwergkauz~Colima Pygmy-owl
Glaucidium palmatum	Ranunculaceae		Japanese wood poppy			
Glaucidium parkeri	Ranunculaceae	Chevêchette de Parker	Subtropical Pygmy Owl	Zamora-Sperlingskauz		Parkerzwergkauz~Subtropical pygmy-owl
Glaucidium passerinum	Ranunculaceae	Chevêchette d'Europe	Eurasian Pygmy Owlet	Sperlingskauz		Chouette chevechette~Chevêchette d’Europe~Glaucidium passerinum passerinum~Eurasian Pygmy Owl~Eurasian Pygmy-owl~Pygmy Owl
Glaucidium perlatum	Ranunculaceae	Chevêchette perlée	Pearl-spotted Owlet	Perl-Sperlingskauz		Perlzwergkauz
Glaucidium peruanum	Ranunculaceae	Chevêchette du Pérou	Pacific Pygmy Owl	Peru-Sperlingskauz	Civettina del Perù	Peruzwergkauz~Peruvian Pygmy-owl
Glaucidium radiatum	Ranunculaceae	Chevêchette de jungle	Jungle Owlet	Dschungelzwergkauz	Civettina della giungla	
Glaucidium sanchezi	Ranunculaceae	Chevêchette du Tamaulipas	Tamaulipas Pygmy Owl	Tamaulipas-Sperlingskauz	Civettina del Tamaulipas	Sanchezzwergkauz~Tamaulipas Pygmy-owl
Glaucidium siju	Ranunculaceae	Chevêchette de Cuba	Cuban Pygmy Owl	Cuba-Sperlingskauz	Civettina di Cuba	Kubazwergkauz~Cuban Pygmy-owl
Glaucidium sjostedti	Ranunculaceae	Chevêchette à queue barrée	Sjöstedt's Barred Owlet	Prachtzwergkauz	Civettina di Sjostedt	Sjostedtis owlet~Sjostedt's Owlet
Glaucidium sylvaticum	Ranunculaceae		Sunda owlet			
Glaucidium tephronotum	Ranunculaceae	Chevêchette à pieds jaunes	Red-chested Owlet	Rotbrust-Sperlingskauz	Civettina pettorosso	Rotbrust-Zwergkauz
Glaucidium tucumanum	Ranunculaceae		Tucuman Pygmy-owl			
Glaucium corniculatum	Papaveraceae	Glaucienne écarlate	blackspot hornpoppy	Roter Hornmohn		Glaucienne en cornet~Glaucière rouge
Glaucium flavum	Papaveraceae	glaucienne jaune	Yellow Horned Poppy	Gelber Hornmohn	Papavero giallo	yellow hornpoppy
Glebionis coronaria	Asteraceae		crown daisy	Kronenwucherblume		Garland-Chrysantheme~Salatchrysantheme~Speisechrysantheme~edible chrysanthemum~chrysanthemum greens~garland chrysanthemum
Glebionis segetum	Asteraceae		corn daisy	Saat-Wucherblume		corndaisy
Glechoma hederacea	Lamiaceae	lierre terrestre	gill	Gundermann	Ellera terrestre comune	Gléchome~Gléchome lierre terrestre~Gundelrebe~Gewöhnlicher Gundermann~Edera terrestre~alehoof
Gleditsia aquatica	Fabaceae		swamp locust			water locust
Gleditsia caspica	Fabaceae		Gleditsia caspia (emendation)	Kaspische Gleditschie		
Gleditsia japonica	Fabaceae			Japanische Gleditschie		
Gleditsia sinensis	Fabaceae			Chinesische Gleditschie		
Gleditsia triacanthos	Fabaceae	Févier d'Amérique	thornless honey locust	Amerikanische Gleditschie	Spino di Giuda	Févier~Févier d’Amérique~Févier épineux~Falscher Christusdorn~Lederhülsenbaum~honey locust
Glehnia littoralis	Apiaceae		American silvertop			
Gleichenia microphylla	Gleicheniaceae		carrier tangle			parasol fern
Gliricidia sepium	Fabaceae		quickstick			
Globba atrosanguinea	Zingiberaceae		\Dancing Lady\" Ginger"			
Globba violacea	Zingiberaceae		Globba violacea Gagnep. (1901)			
Globba winitii	Zingiberaceae	Gingembre dansant				
Globularia alypum	Plantaginaceae	Globulaire buissonnante		Strauchige Kugelblume		
Globularia cordifolia	Plantaginaceae	Globulaire à feuilles en cœur	heart-leaf globe daisy	Herzblättrige Kugelblume		heart-leaved globe daisy
Globularia nudicaulis	Plantaginaceae			Nacktstängelige Kugelblume		Nacktstängel-Kugelblume
Globularia punctata	Plantaginaceae			Echte Kugelblume		
Globularia repens	Plantaginaceae	Globulaire rampante				
Globularia vulgaris	Plantaginaceae	Globulaire commune				
Glochidion harveyanum	Phyllanthaceae		Buttonwood			
Glochidion philippicum	Phyllanthaceae		Buttonwood			
Glochidion puberum	Phyllanthaceae		needlebush			
Gloriosa rigidifolia	Colchicaceae		Waterberg bells			
Gloriosa superba	Colchicaceae		flame lily	Ruhmesblume		Climbing lily~Glory Lily~Tiger claw
Gloxinia perennis	Gesneriaceae		Canterbury bells			
Gluta renghas	Anacardiaceae		rengas			
Gluta usitata	Anacardiaceae		Burmese Lacquer Tree	Burmesischer Lackbaum		Theetsee~Thitsi
Glyceria acutiflora	Poaceae		creeping mannagrass			
Glyceria arkansana	Poaceae		Arkansas mannagrass			
Glyceria borealis	Poaceae		boreal mannagrass			northern manna grass~northern mannagrass~small floating mannagrass
Glyceria canadensis	Poaceae		Rattlesnake manna grass			rattlesnake mannagrass
Glyceria declinata	Poaceae	glycérie dentée	small sweet-grass	Blaugrüner Schwaden		waxy mannagrass
Glyceria fluitans	Poaceae	glycérie flottante	Sweet Grass	Flutender Schwaden		GlycÃ©rie Flottante~GlycÃƒÂ©rie Flottante~Flutendes Süssgras~Entengras~Grütz-Schwaden~Manna-Schwaden
Glyceria grandis	Poaceae		American mannagrass			reed manna grass
Glyceria laxa	Poaceae		limp mannagrass			
Glyceria leptostachya	Poaceae		davy mannagrass			
Glyceria maxima	Poaceae	glycérie aquatique	reed mannagrass	Wasser-Schwaden		Grosses Süeegras~Großer Schwaden~Großer Wasserschwaden~Riesen-Schwaden~Wasserschwaden~reed sweet-grass
Glyceria melicaria	Poaceae		melic mannagrass			
Glyceria nemoralis	Poaceae			Hain-Schwaden		
Glyceria notata	Poaceae	glycérie pliée	plicate sweet-grass	Gefalteter Schwaden		Falt-Schwaden~Gefaltetes Süßgras
Glyceria nubigena	Poaceae		Great Smoky Mountain mannagrass			
Glyceria obtusa	Poaceae		Atlantic mannagrass			
Glyceria occidentalis	Poaceae		northwestern mannagrass			Western Manna Grass
Glyceria pulchella	Poaceae		MacKenzie Valley mannagrass			
Glyceria septentrionalis	Poaceae		Manna grass			Eastern Mannagrass~floating mannagrass
Glyceria striata	Poaceae	Glycerie Striee	fowl manna grass	Gestreifter Schwaden		fowl mannagrass~ridged glyceria~tall mannagrass
Glycine canescens	Fabaceae		Silky Glycine			
Glycine max	Fabaceae	soja	soybean	Sojabohne	soia	Sojabohnen~Soja hispida Moench~Soyabohne~G. max~soybeans~soy
Glycine pacifica	Fabaceae		Glycine pacifica (Grace 946)			
